prediction_index,feature,shap_value
0,numeric__duration,0.18409286148516052
0,numeric__age,0.05426087268330052
0,numeric__day,0.03716504582300557
0,categorical__marital_married,0.021211288119959225
0,categorical__marital_single,0.02043707801366306
0,categorical__job_blue-collar,0.013034331670923025
0,categorical__education_secondary,0.00903042241744185
0,numeric__campaign,0.008222539881292613
0,numeric__balance,-0.006904304532325683
0,categorical__job_services,0.004757723555363329
1,numeric__duration,-0.016575466496432805
1,numeric__day,0.0064021465390426595
1,numeric__age,-0.0038359011779357673
1,categorical__job_admin.,-0.001746515703542417
1,numeric__balance,0.001591852749817481
1,categorical__job_technician,-0.0013779403918572101
1,categorical__education_secondary,0.0012388115292523549
1,categorical__job_services,-0.0008871494983040623
1,categorical__marital_married,-0.0008424192867739119
1,categorical__marital_divorced,-0.0005854272134946107
2,numeric__duration,-0.016122213708711863
2,numeric__day,0.002720142125151626
2,numeric__balance,-0.0023450590602571092
2,categorical__job_technician,-0.0021632584477391035
2,categorical__education_secondary,-0.0017390024377302823
2,numeric__age,0.0017381264869277115
2,categorical__job_admin.,-0.0016319576849200125
2,categorical__job_management,-0.0011837609691543762
2,categorical__marital_married,-0.001148079518586839
2,categorical__marital_single,-0.0008763099774489729
3,numeric__duration,-0.015052028268468017
3,numeric__balance,-0.0036517860721664275
3,categorical__job_admin.,-0.0022738756937231816
3,numeric__age,-0.002193903172472007
3,numeric__day,0.0009929311513075067
3,numeric__campaign,0.0009088287483807174
3,categorical__education_secondary,0.0009073236142287375
3,categorical__marital_married,-0.0007541069065878448
3,categorical__marital_single,-0.0005572901735338952
3,categorical__job_technician,-0.0005413414556588686
4,numeric__duration,-0.018077752209329733
4,numeric__balance,-0.0019103343563283107
4,categorical__marital_single,0.0016083144210604459
4,numeric__day,-0.0015947583550288
4,numeric__age,-0.0015149450538959228
4,categorical__marital_married,0.0013458273719947895
4,categorical__job_admin.,-0.0010176958708623756
4,categorical__job_technician,-0.0008604775085288897
4,categorical__education_secondary,0.0005579111948372994
4,categorical__education_tertiary,-0.0005096509749687064
